date_start,driver_number,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,lap_number,meeting_key,segments_sector_1,segments_sector_2,segments_sector_3,session_key,st_speed
2025-12-07 13:04:59.577000+00:00,1,18.085,38.383,32.649,283,294,False,89.117,2,1276,"[2049, 2051, 2051, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049, 2048, 2048, 2049]","[2048, 2048, 2049, 2051, 2048, 2048, 2048, 2048, 2048, 2048]",9839,303
2025-12-07 13:05:00.702000+00:00,81,18.301,38.534,32.979,282,294,False,89.814,2,1276,"[2049, 2049, 2049, 2049, 2048]","[2048, 2049, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2051, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048]",9839,300
2025-12-07 13:05:02.040000+00:00,4,18.3,38.239,33.354,282,288,False,89.893,2,1276,"[2049, 2049, 2049, 2049, 2048]","[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",9839,310
2025-12-07 13:05:02.638000+00:00,16,18.219,38.0,33.868,281,305,False,90.087,2,1276,"[2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",9839,322
2025-12-07 13:05:02.966000+00:00,14,18.165,38.183,34.048,286,304,False,90.396,2,1276,"[2049, 2049, 2049, 2051, 2049]","[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2049, 2049, 2049, 2048, 2049, 2049]",9839,314
2025-12-07 13:05:03.451000+00:00,63,18.205,38.156,34.268,289,310,False,90.629,2,1276,"[2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2049, 2048, 2049, 2049, 2048]",9839,326
2025-12-07 13:05:03.939000+00:00,5,18.311,38.082,34.263,285,306,False,90.656,2,1276,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2049, 2048, 2048]",9839,329
2025-12-07 13:05:04.619000+00:00,6,18.161,38.034,34.245,283,312,False,90.44,2,1276,"[2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2048, 2049, 2048, 2048, 2049, 2049, 2048]",9839,315
2025-12-07 13:05:05.084000+00:00,31,18.317,38.134,34.053,284,313,False,90.504,2,1276,"[2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2048, 2049, 2049, 2049, 2049, 2049, 2049]",9839,322
2025-12-07 13:05:05.613000+00:00,22,18.476,38.041,34.171,,300,False,90.688,2,1276,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",9839,316
2025-12-07 13:05:05.975000+00:00,30,18.586,38.073,34.14,285,305,False,90.799,2,1276,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2051, 2049, 2049]","[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",9839,304
2025-12-07 13:05:06.330000+00:00,87,18.497,38.711,33.813,289,321,False,91.021,2,1276,"[2049, 2049, 2049, 2049, 2051]","[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",9839,315
2025-12-07 13:05:06.913000+00:00,55,18.613,37.95,35.421,284,321,False,91.984,2,1276,"[2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2051, 2049]","[2049, 2048, 2048, 2049, 2048, 2049, 2049, 2049, 2049, 2048]",9839,333
2025-12-07 13:05:07.327000+00:00,44,18.501,38.405,33.947,287,320,False,90.853,2,1276,"[None, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",9839,326
2025-12-07 13:05:07.744000+00:00,23,18.563,38.125,35.022,288,292,False,91.71,2,1276,"[None, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",9839,326
2025-12-07 13:05:08.290000+00:00,18,18.561,38.208,34.813,283,301,False,91.582,2,1276,"[None, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2048, 2048]",9839,322
2025-12-07 13:05:08.689000+00:00,12,18.611,38.218,34.886,289,306,False,91.715,2,1276,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",9839,327
2025-12-07 13:05:08.910000+00:00,27,18.732,38.223,34.858,283,298,False,91.813,2,1276,"[None, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",9839,316
2025-12-07 13:05:09.238000+00:00,10,19.016,38.149,34.845,,291,False,92.01,2,1276,"[None, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2051, 2048, 2048, 2049]","[2049, 2048, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",9839,332
2025-12-07 13:05:09.689000+00:00,43,18.838,38.213,35.019,289,297,False,92.07,2,1276,"[None, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2051, 2049, 2049, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",9839,315
2025-12-07 13:06:28.715000+00:00,1,18.197,38.495,32.863,281,294,False,89.555,3,1276,"[2048, 2048, 2051, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2051, 2048, 2048, 2048, 2048, 2048, 2048]",9839,304
2025-12-07 13:06:30.770000+00:00,81,18.106,38.444,32.975,283,296,False,89.525,3,1276,"[2048, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048]",9839,301
2025-12-07 13:06:31.848000+00:00,4,18.056,38.536,33.268,285,292,False,89.86,3,1276,"[None, 2051, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048]",9839,300
2025-12-07 13:06:32.676000+00:00,16,18.095,38.082,33.504,285,303,False,89.681,3,1276,"[2048, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",9839,317
2025-12-07 13:06:33.445000+00:00,14,18.215,38.157,33.687,,310,False,90.059,3,1276,"[None, 2049, 2049, 2048, 2049]","[2048, 2049, 2048, 2048, 2048, 2049, 2048, 2048, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2048, 2049]",9839,314
2025-12-07 13:06:34.218000+00:00,63,18.098,37.961,34.008,286,298,False,90.067,3,1276,"[2048, 2049, 2049, 2049, 2048]","[2048, 2049, 2048, 2048, 2048, 2049, 2049, 2049, 2048]","[2048, 2048, 2049, 2049, 2049, 2048, 2049, 2049, 2048, 2048]",9839,314
2025-12-07 13:06:34.559000+00:00,5,18.189,38.019,33.929,,313,False,90.137,3,1276,"[2048, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049, 2048, 2049, 2048, 2048]",9839,319
