date,meeting_key,overtaken_driver_number,overtaking_driver_number,position,session_key
2025-12-07 13:24:52.029000+00:00,1276,87,12,14,9839
2025-12-07 13:24:52.029000+00:00,1276,6,12,13,9839
2025-12-07 13:24:52.029000+00:00,1276,63,12,12,9839
2025-12-07 13:24:58.908000+00:00,1276,87,43,15,9839
2025-12-07 13:24:58.908000+00:00,1276,6,43,14,9839
2025-12-07 13:25:01.752000+00:00,1276,87,44,16,9839
2025-12-07 13:25:01.752000+00:00,1276,6,44,15,9839
2025-12-07 13:25:03.494000+00:00,1276,87,27,17,9839
2025-12-07 13:25:03.494000+00:00,1276,6,27,16,9839
2025-12-07 13:25:05.802000+00:00,1276,87,23,18,9839
2025-12-07 13:25:07.244000+00:00,1276,63,43,13,9839
2025-12-07 13:25:13.979000+00:00,1276,6,23,17,9839
2025-12-07 13:26:17.244000+00:00,1276,5,31,6,9839
2025-12-07 13:26:18.461000+00:00,1276,5,22,7,9839
2025-12-07 13:26:20.215000+00:00,1276,5,30,8,9839
2025-12-07 13:26:21.589000+00:00,1276,5,55,9,9839
2025-12-07 13:26:22.144000+00:00,1276,5,18,10,9839
2025-12-07 13:26:23.019000+00:00,1276,5,12,11,9839
2025-12-07 13:26:25.012000+00:00,1276,43,63,13,9839
2025-12-07 13:26:26.213000+00:00,1276,43,44,14,9839
2025-12-07 13:26:32.675000+00:00,1276,43,27,15,9839
2025-12-07 13:26:35.627000+00:00,1276,43,23,16,9839
2025-12-07 13:26:38.060000+00:00,1276,43,6,17,9839
2025-12-07 13:26:38.164000+00:00,1276,5,63,12,9839
2025-12-07 13:26:39.459000+00:00,1276,5,44,13,9839
2025-12-07 13:26:40.971000+00:00,1276,5,27,14,9839
2025-12-07 13:26:41.773000+00:00,1276,43,87,18,9839
2025-12-07 13:26:57.699000+00:00,1276,43,10,19,9839
2025-12-07 13:27:16.744000+00:00,1276,55,18,9,9839
2025-12-07 13:27:48.028000+00:00,1276,14,31,5,9839
2025-12-07 13:27:48.028000+00:00,1276,16,31,4,9839
2025-12-07 13:27:48.028000+00:00,1276,4,31,3,9839
2025-12-07 13:27:49.394000+00:00,1276,14,22,6,9839
2025-12-07 13:27:49.394000+00:00,1276,16,22,5,9839
2025-12-07 13:27:49.394000+00:00,1276,4,22,4,9839
2025-12-07 13:27:51.608000+00:00,1276,14,30,7,9839
2025-12-07 13:27:51.608000+00:00,1276,16,30,6,9839
2025-12-07 13:27:52.572000+00:00,1276,14,18,8,9839
2025-12-07 13:27:52.572000+00:00,1276,16,18,7,9839
2025-12-07 13:27:53.477000+00:00,1276,14,55,9,9839
2025-12-07 13:27:54.044000+00:00,1276,14,12,10,9839
2025-12-07 13:27:58.695000+00:00,1276,14,63,11,9839
2025-12-07 13:27:59.874000+00:00,1276,4,30,5,9839
2025-12-07 13:28:00.902000+00:00,1276,4,18,6,9839
2025-12-07 13:28:01.924000+00:00,1276,16,55,8,9839
2025-12-07 13:28:01.924000+00:00,1276,4,55,7,9839
