Date,Status,X,Y,Z,Source,Time,SessionTime,Driver
2025-12-07 12:15:07.772,OnTrack,0.0,0.0,0.0,pos,0 days 00:10:00.709000,0 days 00:10:00.709000,1
2025-12-07 12:15:21.571,OnTrack,0.0,0.0,0.0,pos,0 days 00:10:14.508000,0 days 00:10:14.508000,1
2025-12-07 12:15:34.831,OnTrack,0.0,0.0,0.0,pos,0 days 00:10:27.768000,0 days 00:10:27.768000,1
2025-12-07 12:15:48.291,OnTrack,0.0,0.0,0.0,pos,0 days 00:10:41.228000,0 days 00:10:41.228000,1
2025-12-07 12:16:00.871,OnTrack,0.0,0.0,0.0,pos,0 days 00:10:53.808000,0 days 00:10:53.808000,1
2025-12-07 12:16:14.251,OnTrack,0.0,0.0,0.0,pos,0 days 00:11:07.188000,0 days 00:11:07.188000,1
2025-12-07 12:16:27.531,OnTrack,0.0,0.0,0.0,pos,0 days 00:11:20.468000,0 days 00:11:20.468000,1
2025-12-07 12:16:41.491,OnTrack,0.0,0.0,0.0,pos,0 days 00:11:34.428000,0 days 00:11:34.428000,1
2025-12-07 12:16:54.031,OnTrack,0.0,0.0,0.0,pos,0 days 00:11:46.968000,0 days 00:11:46.968000,1
2025-12-07 12:17:06.871,OnTrack,0.0,0.0,0.0,pos,0 days 00:11:59.808000,0 days 00:11:59.808000,1
2025-12-07 12:17:20.611,OnTrack,0.0,0.0,0.0,pos,0 days 00:12:13.548000,0 days 00:12:13.548000,1
2025-12-07 12:17:33.811,OnTrack,0.0,0.0,0.0,pos,0 days 00:12:26.748000,0 days 00:12:26.748000,1
2025-12-07 12:17:47.051,OnTrack,0.0,0.0,0.0,pos,0 days 00:12:39.988000,0 days 00:12:39.988000,1
2025-12-07 12:18:00.051,OnTrack,0.0,0.0,0.0,pos,0 days 00:12:52.988000,0 days 00:12:52.988000,1
2025-12-07 12:18:14.471,OnTrack,0.0,0.0,0.0,pos,0 days 00:13:07.408000,0 days 00:13:07.408000,1
2025-12-07 12:18:27.791,OnTrack,0.0,0.0,0.0,pos,0 days 00:13:20.728000,0 days 00:13:20.728000,1
2025-12-07 12:18:40.531,OnTrack,0.0,0.0,0.0,pos,0 days 00:13:33.468000,0 days 00:13:33.468000,1
2025-12-07 12:18:55.111,OnTrack,0.0,0.0,0.0,pos,0 days 00:13:48.048000,0 days 00:13:48.048000,1
2025-12-07 12:19:08.491,OnTrack,0.0,0.0,0.0,pos,0 days 00:14:01.428000,0 days 00:14:01.428000,1
2025-12-07 12:19:21.971,OnTrack,0.0,0.0,0.0,pos,0 days 00:14:14.908000,0 days 00:14:14.908000,1
2025-12-07 12:19:35.291,OnTrack,0.0,0.0,0.0,pos,0 days 00:14:28.228000,0 days 00:14:28.228000,1
2025-12-07 12:19:48.992,OnTrack,0.0,0.0,0.0,pos,0 days 00:14:41.929000,0 days 00:14:41.929000,1
2025-12-07 12:20:02.392,OnTrack,0.0,0.0,0.0,pos,0 days 00:14:55.329000,0 days 00:14:55.329000,1
2025-12-07 12:20:15.572,OnTrack,0.0,0.0,0.0,pos,0 days 00:15:08.509000,0 days 00:15:08.509000,1
2025-12-07 12:20:28.872,OnTrack,0.0,0.0,0.0,pos,0 days 00:15:21.809000,0 days 00:15:21.809000,1
